ReviewContent,Label
So cheap app i have order blue colour eyeshadow from C.A.L COSMETIC THEY GAVE ME BRONZE METALLIC COLOUR EYESHADOW OLD PRODUCT WITH NO DOM AND DOE.WHEN I COMPLAINT NO RESPONSE..SO DISGUSTING DON'T PURCHASE ANYTHING FROM NYKAA.. BAD SERVICE NO HELPLINE NUMBER IF U HAVE AND PROBLEM U CAN'T CONTACT THEM THEY WILL CALL BACK AS THEY SAY BUT THEY DON'T CALL YOU AFTER 24 HRS..POOR SERVICE POOR AND CHEAP METHOD CHEATING COSTOMER.,0
amazing,1
Return policy is so phir what i ordered and they delivered another cheap item please don't install this app,0
Nice App,1
Very good..... I love this product,1
"If u miss one call from them during delivery they cancel ur order how rude they r, they won't even call u twice and when we call they won't pick up ..",0
good,1
good product,1
wow,1
I dont know why but i am facing too much buffering problem when i open the app,0
Wow!  THIS APP is really sooooo useful beyond words!  You can see all products with reviews and choose the best.Infact you get to see products you never knew existed . I  had severe hair fall problem and i would like to thank nykaa for making me choose the right products.,1
Nice aap,1
"Good job guyz, i've been using nykka since 3 years and i totally loved it!!",1
Never disappoint from this app,1
I love nykaa,1
Awsome,1
Love Nykaa .... thanks for ur service...I love shopping frm Nykaa,1
Good,1
Terrible app.. the worst customer service ever.. they are fooling customer .I will make sure that everything is shown on social media. They fooled me and are now not willing to help.,0
Awesome app it delivers good quality products in the promising time,1
Fantastic hassle free app a great experience,1
nice,1
Good,1
genuine products,1
Love nykaa,1
very good app,1
it's so easy to get all my favourite beauty products so easily from home!,1
Thank you so much ! I just loved it,1
sooper,1
Very nice,1
Love this app! Amazing offers and variety ! Big thumbs up..,1
Excellent,1
Very cool offers for sale just love it,1
Great deals offered,1
best app for those who care for their inner and outer soul ,1
Love this app excellent,1
Totally love this app 100% genuine No fake products,1
gud,1
It was good shopping in this app!!the prices are low as compared to another apps,1
Loved it,1
Good cosmetic options,1
Very nice app,1
gud,1
All the products that you want ... You'll get it here.. and many more options even. Loving it .. every time the experience gets better and better. Happy,1
Am happy with the experience. I really love for the wide range of products and safe delivery.,1
"Always satisfied with price, quality and smooth purchase from nykaa.",1
This app is perfect place for every skincare products,1
loved shopping on this app till now. best place to get your cosmetics and routine things sorted at amazing prices. Packing and delivering is good too.,1
Awesome,1
great app ......just loved it.....,1
Its amazing..it gives so many options about beauty products,1
very first delivery,1
original brands with amazing discount..my word's are less to describe my love for this app...i just love NYKAA,1
Great....,1
Osm experience,1
Superb,1
It was very good,1
Awesome site for genuine products.,1
Best,1
Love the app. It is amazing with best products and fast delivery,1
Worst service,0
Great App for shopping ,1
Nice,1
good,1
Quality products. Delivery is also very fast. I personally really loved this app and its products.,1
"This app is really amazing to order.loved it lot , the cosmetics products are wonderful",1
"100% original products, on time delivery. Nice discounts, 1 stop application for everything. I just loved It.",1
very good .I love nykaa,1
amazing,1
Good,1
Now it's working better,1
Good quality with reasonal cost compared to shopping Malls,1
nice app,1
I love this app very,1
best forever best,1
love this aap,1
In love with nykaa,1
Awesome,1
Good,1
"Bad experience  I've ordered like one shampoo and conditioner from morocconoil brand bcz another app or shopping app doesn't have this brand but they didn't shipped my order they just cancelled it and I just ordered another s&c in another shopping app and they literally came in one week. So nykka doesn't provide good services and even I've ordered so much stuff from here but they didn't shipped my orders they just cancel them.So I requested to shipped my recent order I hope.also I've ordered organix oil and they delivered me a lipstick which is not my order, I'll never buy anything from nykka again and I'm pretty sure. I hated this app + everything.",0
This app is too good,1
Happy,1
Gooood,0
"This app is awesome, you'll find every make up product which you might not 
found on regular stores, and the best part is shipping is free on the order 
above 500, Love Naykaa..",1
too good for shopping but could add many new things...,1
I am very particular about products that i have to use. Nykaa makes my life easy by keeping them available. just open the app place order and get them soon. just love it.,1
Loved the app and the products are delivered on time and in perfect condition .,1
"Sooo easy to buy the highend top most and also the newest drugstore brands 
from Nykaa. I love it",1
Good,1
Based on all bad reviews,0
Awesome,1
good service,1
Good products,1
loved it,1
Buying your essentials and makeup with 100% brand surety is simple now.,1
Awesome service....brands almost all available,1
Dis is my fav online Cosmetic app ,1
Wowww,1
excellent,1
Love nykaa its really good amazing discounts must download love love love it,1
Good service,1
"Hey all i just want to say is nykaa is like my family we all are so addicted toooooo nykaaa that i have no Words to describe... And the delivery system isss tooo good..jahir the delivery boy who is a great person, he always try to understand our pblms and then delivery the parcel as we are Comfortable... Great app great facility osm service..... And amazing products...",1
Nykaa is my favorite shopping cart.... all my favorite brand is there .... I can trust blindly,1
Amazing app Love it,1
awesome,1
Nice app...,1
"very nice app. fast service, great discount, and original product, really loved it this app.",1
Damnnnn love nykaaaa,1
"Love this app. Great discounts, Very good products and keeps adding new brands which makes it exciting to check out. I love their clothing brands too but I feel that they are too expensive. There should be reasonably priced clothing in plus sizes too. But I love Nykaa and will always be a loyal fan of it. I love the Nykaa Prive member coupons. Thanks Nykaa!",1
Best ever beauty products .,1
Waiting for my first order . Hope products will be great,1
Best app ever... Love it,1
Nice products,1
Loving it..,1
amezing,1
Satisfied,1
its very best,1
Its good,1
Super fast delivery and amazing collections.,1
Now my comment and feedback has been deleted by the team. Well Done Nykaa,0
Good,1
i really like this app to enjoy my shopping thank you nykaa,1
My order was misplaced.. after contacting the customer care i got full refund.. m thankful to nykka for such a quick response..,1
Excellent,1
Very helpful app...,1
i loved this app it is very good for cosmatic its gave u one to three months old manufatcher product.u can get any cosmatic product here.i really loved this app if u are thinking to order any cosmatic product which you are not geting in market you will get in this app please download it.,1
Good,1
genuine & original products.,1
Wow,1
super,1
Gamuts of products available,1
best rates in nykaa sale,1
This is the best app for purchasing cosmetics..i just love the app and recommend every one to use the app,1
Good,1
The delivery of product were very bad it was my first experience at nykaa but daily it say tomorrow but no agent called me I also paid by online,0
I have downloaded app and created a new account as there was offer for 1st time buyer and free shipping however I am not able to get free shipping as well as 10% off . Whenever i apply coupon code it says this isn't for you. Could you please help me out with this,0
"Simply woww price, delivery just loved it",1
Loving,1
Amazing,1
Very good,1
loving it,1
I'll see the product first,1
This app is really amazing Verified products at good offers.. Just loved it,1
very Good,1
"In short,the best app for cosmetics. loving it",1
Nykaa App is very easy to use. No challenges at all,1
Get all your favorite makeup products at one place....,1
I love nykaa services...... Delivery is also in time...,1
Worst app ever. I ordered few products and didn't get the delivery. The order was prepaid. The order status showed that the product has been already delivered. Tried to contact customer support but they are not cooperative. Didn't get any positive response till now.,0
Superb for cosmetics.,1
Comfortable,1
good products,1
I've been an user for a long time and the app is really no trouble. Nykaa itself has a wide range of products and there are a lot of offers.,1
Products was good,1
super,1
I use nykaa app....all product original...timely recived delivery....more discount all product,1
Excellent,1
Very disappointed with Nykaa's customer service. I've received damaged products from Nykaa three times and return experience is a true hassle and is not simple with them requesting for multiple photos of damaged products and you having to chase customer care multiple times for the return to be processed and followed up.,0
It's very helpful in guiding you about the products and it's review. Also offers original products at minimum rate. Enjoyed my experience with nykaa and wish to continue it.,1
Very Nice App!,1
Great products & ranges. Thanks to nykaa,1
Used to be my fav app since a long time but off late it has been crashing like hell.. I can't even browse through the site for 5 mins at a stretch and it crashes abruptly... Have to wait and restart like a zillion times in order to complete the purchase... Totally disappointed...,0
Fabulous,1
Great app got lots of stuff not available locally,1
Amazing,1
Nice products n offer available,1
I just love nykaa,1
My go-to online store for everything...very fast delivery n reasonable rates,1
love to shopping with nykaa,1
love it,1
Good,1
Very bad app,0
It is a good aap,1
Gooood,1
loved it,1
good experience with nykaa,1
excellent,1
"I used to love this app, but my last purchase changed my view towards NYKAA. I had ordered for 5 items and got only 3 instead. I had paid for all 5 products so I expected 5. I also issued a complaint in customer support 2 times to either make a refund or send the 2 items but there is no response on their side. VERY ANNOYING!!! HATE THIS APP.",0
good,1
Awsm,1
very nice app,1
i love this app.. authentic products,1
Amazing,1
Super hit 143 nykaa,1
Nykaa app was all that was needed. Their products are the best and they have amazing deals.Download the app and grab on all their amazing products.,1
"They have worst return policy, if u received damage or wrong product. They didnt change or return or refund after many proofs.i will not suggest buy anything from here.",0
Always get discounts on products..totally loved it,1
V good,1
its awesome app.,1
Nice experience,1
Love it...,1
I used to like nykaa but now they have completely screwed up my order.Tired of dealing wid irresponsible unhelpful customer care. Better not to shop from here,0
Amazing products,1
Best app,1
Very good,1
lovely products,1
easy display easy payment method,1
ossum products,1
love it,1
its just awsm . one stop for all beauty needs .,1
Want to ask a question.. people said that nykaa sells old or fake products..is this true? I m a regular customer but i m afraid. Plz clear my doubts,1
nice app,1
Best cosmetics app,1
Awesome,1
Nice app forever,1
Nice App,1
Its a cheat app they take money but they dont really deliver items. They show its delivered but its not,0
loving it,1
Nykaa is totally awesome ! I'm loving it,1
Great,1
"Recently I had a very bad experience with Nykaa, the product which was delivered to me was not what I had ordered and inspite of getting in touch with them several times ,they have done nothing about it. In fact I have already made a payment for the product ordered which is much more than the wrong product delivered to me. I am feeling very cheated. I would advise not to use this app since they do not bother about what is being delivered or about responding or even having the wrong product exchanged!!!! BAD EXPERIENCE!!",0
Awesome,1
Gazabb,1
Available original product i like it,1
Love to shop through Nykaa. Really convenient.,1
the products are amazing and the delivery is quiet quick plus the offers had me every time I opened the app. korean skincare lovers must use it ,1
Amazing,1
"there is nothing wrong with their beauty products but their other services are pathetic. 1.the delivery guy doesn't even call or send message before delivering the product. 2.we know that in some places your delivery guy is not allowed to enter but atleast they can come till the gate of the area, they just send message that my address is ineligible for delivering the products. my friends are also having this kind of problem, i reported but they don't even care about their customers.",0
i loved it ,1
Good and orginal product,1
it's nice and helpful,1
Nykaa is love,1
Love you nykaa,1
Pathetic customer service experience. Doesn't listen to the issue and give baseless excuses.,0
best offers...,1
one of the worst service. no customer support team responds to our mails . worst worst exp . please people close d site,0
"I purchased a Maybelline new york eyestudio gel eyeliner by nykaa and when i received the product, it's totally fake product. Not expected from Nykaa. When they assure to sell 100 % genuine products so they are telling lie",1
Delivery is too late!! Its been 15 days i oredered and i not getting my parcel yet!! Its disgusting. I am never gonnar order anything on this site,0
Awesome products. Thanks to Nykaa team.,1
Really nice app genuine products I love it,1
Very nice app I am truly satisfied,1
Good,1
Fabulous,1
this app is very very nice for purchase makeup and more,1
Awesome,1
I'm very happy with your product ,1
Good app,1
Variety of branded original products to choose from. There are good offers too,1
awesome deals n smooth functioning,1
I dont get my refund it's 10th day till now I provide all info but u guys are not satisfied with this.. It's a huge amount and I can't neglect this. Just refund my money otherwise I'll file a complaint against u solve ur issue's with ur own... I'm not going to bank daily... It's your fault so resolve it,0
Amazing amazing!,1
Gud,1
I love Nykaa it never disappoint!!,1
One solution for all problem.. thanks NYKAA,1
Love shopping with Nyka,1
Nice app loved it,1
Very nice app I love to do shopping from Nykaa . The rate of the products is also less as compared to other apps,1
Great experience,1
Good service ..i love this app,1
Good very good app,1
loved it,1
I love nykaa from d very 1st day...it sells original products..no need to go 4 shops..deals nd offers are also good..moreover..i found it very convenient...coz COD is available only abouve 500 rs..its very helpful 4 those who cant buy expensive products..love u soo much nykaa,1
Great,1
Awesome,1
Love purchasing each and every product from nykaa!,1
"Nicest app for skin care, makeup products even for body dew mists and all. The best part for everything is that this entire thing gives you the original products and it's so beautiful. I loved using nykaa",1
☺️,1
Really 100% original product with lots of offers....love it,1
Love this app,1
Perfect app for beauty products,1
Best beauty products app,1
Worst App. Very poor delivery.,0
best app...,1
I jzt love this app,1
You can't cancel your order once it placed even can't change the shipment address,0
Awesome,1
Best,1
Great App,1
Nice experience,1
love this,1
Cash on delivery not available,0
very good app,1
I like it ...,1
range of products is wide and quality is very satisfactory,1
Best app for all the girly products....I am in love with you Nykaaa,1
Awesome,1
It's nice very helpful I lv this...,1
It's good it serves the customer no matter in what situation best app ever much appreciated,1
Nice,1
Super,1
Classy,1
I love nykaa,1
Good experience. Can find any product immediately,1
it's great,1
i love naykaa 100%orignal,1
Good,0
Nykaa is a very good app. It also works properly without hanging. Also saves our time,1
good,1
It's really very nice apps.. I just love this apps..,1
Coupon code also must have,1
nice,1
very good,1
DO NOT GIVE YOUR DELIVERIES TO BLUDART. I request you to stop giving deliveries to bludart. They never deliver on time. They lie about not being able to reach while in reality they don't even attempt to deliver. The app itself is quite good if not being delivered by BLUDART. My order is 5 days late because it was being delivered by them. I will change my ratings as soon as this issue resolves. And I will not get anything from here if I keep receiving late stuff from bludart like this.,0
offer r nice,1
I've always had the best experience shopping with nykaa. Very user friendly,1
THE BEST,1
Excellent,1
Loved it,1
i love nykaa products,1
Gud,1
best online cosmetic app and the real products I love shop to nykaa I suggest to all makeup lovers,1
The best beauty app uptil now.,1
Awesome app..genuine products..on time delivery,1
Products are very good just love them,1
This is awesome app for shopping,1
it's very good. im just happy ,1
Awesome i love this,1
Update has spilled it... Can't check my order details,0
very good apps,1
I love to buy cosmetic product by nykaa because Nykaa productr very good ... Keep it on Nykaa...,1
Good app for cosmetic products and skincare products,1
Super,1
Lovely,1
This is the best app ever I loved it n so helpfull,1
Superb,1
i like nyka's genuine.. it is always my trustworthy app,1
Love this aap,1
"The products are authentic, delivery is fast. Slowly becoming more environment conscious... Would appreciate lesser use of bubble wrap, plastic covers etc.",1
It's a good aap.,1
Best product with fast delivery.,1
"App is well designed, product are well placed and clearly explained. Payment checkout was very seamless.",1
"I've been using nykaa since forever to buy any products . Never disappointed with anything, not even with delivery love it .",1
Great app,1
Very nyc.......,1
"Absolutely love the flawless experience provided by nykaa. Genuine products, So super convinient and fast. One doesn't need to step out now, and the frequent discounts with fast delivery and combos are the cherry on top of the cake! Love it.",1
Wonderful app,1
Worst customer service,0
If you order from this app.. They didn't deliver the product and at the end of the day u will only gonna receive msgs tht order not get delvrd bcz consignee ws nt available . So plz don't go for this app. Only time waste app,0
Love it!,1
i loved nykaa 100 percent orijional products,1
I love this app thank you Nykaa,1
"superb, all the product were good n where cheap in lost...",1
Best..shopping app,1
Good app n all genuine product,1
Loved it,1
Awesome place to shop,1
I loved it so useful and I have a great time to say that this isn't amazing,1
Great App. Thanks.,1
Great,1
Amazing,1
very good Application,1
Best app!! Just lived it!!,1
Superb.,1
Just wowww,1
it really has some great offers.. I love it,1
Nice,1
Best app for shopping cosmetics and beauty products. Just love the quality of their products. Hope to purchase soon.. Love it.,1
amazing experience,1
Nykaa is my best friend. When I scroll through the home page even my hardest of days brightens up.,1
love the collection. App is a lot user friendly. easy to shop and choose products. the try it on feature is a bliss. just that it doesn't work on the products in cart. but overall awesome app,1
Great experience more Discounts will be appreciated,1
loved it.....providing best services,1
Best shopping app,1
Good,1
Nykaa is the best,1
very nice,1
Co-operate very well to the customer...,1
Its awesome and it has lots of offers available,1
genuine products,1
Receive my parcel very good quality happy with the product got my parcel very fast ,1
A very good app,1
I just love this app..love you Nykaa..,1
Best shopping,1
Loved,1
I luv this app. It's always a pleasure and convenience in using it,1
Excellent job keep it up!,1
It's awesome,1
"I love shopping from nykaa, it's very much convenient, but please expand the nykaa services outside India also",1
"It's a great App, has more variety of products and easy to use.. Almost always a discount...And oh did i mention, i get orders delivered within 48hrs!",1
Great experience... I love it,1
Good,1
Wonderful app. Totally in love with it!!,1
Nice collection of products and nice packaging,1
Good products,1
best experience,1
Great and trusted app for all your essential needs.,1
amazed,1
Good,1
I ordered a product before lockdown and even after 2 months from order i have not got my order which is ok. But now i want to cancle my order bcz i have bought the same thing from market. But nykaa customer care is saying they can not cancle my order due to lockdown which is not a good thing. Its my freedom to cancle my order.,0
worst app ever can't evn deliver a small product as i ordered on 29th and it was returned without my consent.. and not refunding the amount too.. worst disgusting app,0
Recommended app for personal care,1
Good but expensive,1
very goood.. app,1
nice,1
Very good app...systems are very organized...really love it...thank u...,1
Worst experience,0
Loved it,1
it is really amazing will get ur order in less than 3 days,1
loving this aap,1
"Good, fast & efficient!",1
wonderful app,1
Great Experience with nykaa..,1
Love nykaa,1
Nykaa is awesome ...,1
Useful and worth buying good products ... really I love it,1
Very good apps,1
Good,1
Love Nykka cause they have such great offers on products,1
Wow,1
it feels good,1
great!,1
Amazing app for beauty and cosmetics,1
A good place for makeup lovers.,1
Love shopping,1
100% best app for cosmetic,1
Nice,1
nice,1
fentastic,1
Very nice and affordable products,1
Good,1
"Oh my God what a great packaging, too secure, and such great deals specially small size products that i never get on any other store, for small size products with discount, hats off to u",1
very good,1
Its good the delivery is always on time and the products are nice,1
Good product with best price,1
I like this app..provides diffrent variety to choose and fast delivery.,1
Loved it . Easy ordering. Fast order delivery. Recommend to all,1
Awsm,1
Easy to use platform. All major foreign brands also available,1
All products are totally fake here that's why it's so cheap worthless Nykaa,0
good work nykaa keep rocking,1
Authentic products,1
Amazing experience love this app,1
Nice,1
"App experience is good, & moreover their products are Goooood",1
Best beauty station for us,1
wonderful app for females...,1
good,1
Genuine products and great deals :) Thank you for quick deliveries all the times & that we don't have to work if the products ordered are fake ..,1
"very authentic, wide variety and fast delivery system",1
20 errors occurred in 1 week continuously buffering and the app is working really slow ,0
For me Shopping on Nykaa is an Excellent experience. I enjoyed it a lot. Lovely products also. loads of thanks to you,1
Good,1
Great range of products. Super fast delivery!,1
it is so easy to shop your fav look good products from nykaa....payment is not only easy but they always have so much to offer. love with nykaa.,1
the products are amazing and at a reasonable price...loved the shopping experience,1
One stop where u can buy variety of skin care products and including our daily essentials makeup things.,1
This app is a blessing in disguise,1
good,1
Nice app..Most of the beauty products are available,1
"Fast delivery, genuine products, happy",1
Love it..best app for cosmetics.. original products,1
Amazing they actually deliver your order on time and the products are great too,1
I love Nykaa,1
Very useful app,1
awesome,1
gud,1
Amazing and handy.,1
Superbbbbbb app love it,1
just amazing.....,1
Good,1
Excellent,1
Good products  with good offers . Hope more offers will available further ,1
Worst online shopping ever. I ignored some negative reviews and gave an attempt to shop. But they game me disappointment only. Customer service is the worst to the core.. Nykaa go and learn from flipkart. They will teach you how to deliver and response to a customer. BTW they is no option to give zero star thats why iam giving one,0
totally loved it...this app is very useful to everyone...quality n delivery is awesome...on time delivery,1
Nykaa is my go to app when it comes to cosmetics and beauty products. The products at Nykaa are absolutely genuine and there are always some amazing offers going on. You can select from a wide variety of brands & products. It offers drugstore products as well as luxe brand products all with great offers. I really enjoy shopping at Nykaa & would recommend it to others as well.,1
Superb ur products are. Delivery also quick and superb packaging. But onething is there are no offers given for products compare than purple products.,1
Great experience shopping with Nykaa.. Amazing collections.,1
I am just Loving Nykaa. All the Products are veryy good plus the offers and Prices are too good.,1
its good to buy something,1
in love with this app,1
Very bad experience. Not recommended for anyone to buy from it. No help is provided.,0
M too hppy to shop wid nyka,1
Awesome discounts and deals,1
Good app,1
Good,1
It's so convinient,1
good,1
Happy with Nykaa,1
I'm jst love to shopping from nykaa...such a great shopping app...,1
Good product and fast services. I like it.,1
loved it,1
worst experience i have given my order before 10 they said it will come till 16 bt still i m waiting,0
On Tym delivery.... Packaging was too gud.... Juz love to shop with u guys... Customer service is excellent.... Love u nykaaaa ,1
Bestest,1
Love this app 100% original products,1
This app is easy to use n provide us new offer.,1
I like this site,1
love this app,1
Good,1
lovely app,1
Awesome service,1
Authentic products available on Nykaa...... pls have sales and offers more frequently..... love the App,1
"After being such a big platform nykaa fail to do justice with their employees and small content creators who are collaborating with them, its more of a barter system. Employees are judged for their financial condition, mental health and what not. Have often received expired freebies from them.",0
Love it,1
Timely delivery and genuine products..!!..,1
Love it!,1
Very good app for shopping,1
it's just spectacular,1
Good,1
"Nykaa is one of the most pathetic company / website , they do not exchange or return or refund for the product... like other companies or website do ...if the quality of the product is not good then their is not option to change, but keep it with you .... . pls don't buy anything from here.",0
Nice,1
Nice,1
"Worst service If there is any option for no star I will give them..the service they provided to customer is worst..they don't deliver items in time also refund policy is too slow.and for the refund you have to call customer care service many times.every time they said within 24 hrs your refund will initiate, but after 8 days I don't have get my refunds..",0
"Great Experience, Fast delivery, awesome discounts , Genuine product... Thanks Nykaa",1
Its is amazine.... My all time fvrt sopping app its realy good app the prduct was amazing nd orginal.. I love to sopping hare.,1
Love the appm Super fast delivery and amazing products.,1
Love to shop in nyka,1
Very nice app as well as good payment options and they have safe non contact delivery loving this app,1
The best,1
The products good n genuine. But only one suggestion nykaa has to work on their return policy. I tried to return on one lipstick which damaged on receipt. But response from the team n it was never returned,1
best app for evrything u purchased,1
This app is just great! For some apps they may sometimes delivery fake products but in that thing we can trust nykaa blindly.,1
wonderful,1
Nice app. More discounts on cosmetics than other apps. Happy with this app,1
Wonderfull,1
Till now no issues,1
such a beautiful shoping,1
girlssss must go on,1
"I had ordered a product recently and it turned out to be a damaged product. Unfortunately I wasn't around to open the package untill today and I found it that way. When I tried to raise concerns, neither nykka could provide me a solution nor I could navigate to the product to write a review. I have been a customer to nykka since a long long time and keeps on purchasing zillion products, why would I raise a concern so petty if it wasn't genuine? Extremely disappointed!",0
Nykaa is love ,1
awesome,1
Anything that I desire in Cosmetics I can definitely find on nykaa great variety amazing deals and time saving i love nykaa ,1
my friends recommended the app and I really love it,1
Awesome,1
Mind blowing,1
It has quite an easy access,1
Always purchase my make-up stuff from here only,1
Very nice shopping app,1
shopping made easy thru nykaa,1
awesome products,1
Awsm,1
"Loved the app , the delivery experience, the products,the offers ... everything is too good...!!!",1
Very nc,1
It's a beautiful & easy to use app specially for me,1
Fantastic .....the products are such  good which goes beyond words to explain...,1
Best Shopping App,1
It's good,1
Best app for shopping with good offers,1
Very good Beauty shopping app; keep lots of different brands including some good indian skincare brands. They have tied up with international brands as well which help us to get hands on amazing international makeup products. They made life soo easy ,1
Perfect app to shop beauty products,1
good app we can trust on this app,1
I absolutely love this app... It's having wide collections of beauty and care products... All products which showing is 100 percent genuine .. and their delivery is always accurate it's never comes late... And now a days I prefer to order my cosmetics in nykaa only... I luv shopping with Nykaa.. Thank soo much for the Amazing app team Nykaa ,1
awesome app do download and be gorgeous,1
Best products ,1
Amazing,1
superb,1
the best online beauty shopping i just love it,1
best products. love to order,1
It's such a beautiful app. Loving it.,1
I dont know wht happened but my nykaa app is not working properly . I uninstall n install teice but still its not working . Plz improve it.,0
Good experience,1
Pathetic services offered. Their agenda has been fulfilled now and they don't care about customer support anymore.,0
download. much better than the website,1
Hi guys i've used this app through decades and I have litterally never faced any problem I love using this app so yeah make sure you download it cause it really saves time as well as money,1
I got the items in time and all were in gd conditions. Thank u,1
Its adorable and affordable,1
Nice,0
Great,1
Good,1
Good app just love it whatever I need I can get it from here I don't even need to go to any markets,1
its nice really products are awsome,1
I've received a damaged airpods today they are not having any return policy,0
Guddd....hapy wid naykaa Love it,1
good,1
One stop online shop for all your need ,1
Great experience,1
I love Nykaa,1
awesome app .,1
It's always great,1
I think the products are original and satisfactory.,1
Experience is good,1
